offer_id,offer_type,property_type,location_district,location_city,location_area,agency,office_city
JuXIzNjmik_,rent,"3-room apartment","okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
Juv94EKwgh6,sale,"3-room apartment","okres Ružomberok","Liptovská Teplá","Liptovská Teplá","AstonReal s.r.o.","Banská Bystrica"
JukKH41KaWr,rent,"3-room apartment","okres Martin",Martin,Stred,"TUreality s.r.o.",Žilina
JuhxRDKuEfi,sale,"2-room apartment","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",donidDevelop,"Dolný Kubín"
JuRJykTdszG,sale,"4-room apartment","okres Martin",Sučany,Sučany,"JKV REAL",Prievidza
JuDJ_hnDscM,sale,"2-room apartment","okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
JulzEF1iR1R,sale,"2-room apartment","okres Žilina",Žilina,"Staré mesto","ŽILINAREAL, s.r.o.",Žilina
Jus2f1I5Shb,sale,"3-room apartment","okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JuWzCETm2y0,rent,"3-room apartment","okres Čadca",Čadca,Kyčerka,"SLNOVRAT, s.r.o.",Olešná
Ju12shpSBga,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuXnw8EKWYI,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","RS Mansory s.r.o.",Bratislava
JuJM07aUO0O,sale,"5+ room apartment","okres Žilina",Žilina,Hliny,"RIEŠIME BÝVANIE",Bratislava
JuVtdEgquxp,sale,"3-room apartment","okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
JuP6qyzD4rb,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuP-xJVwuxh,sale,"3-room apartment","okres Martin","Košťany nad Turcom","Košťany nad Turcom","B10 Slovensko, a. s.",Žilina
Ju2skZ_XIuH,rent,"3-room apartment","okres Čadca",Čierne,Čierne,NULL,NULL
JuxYMJGR4NW,sale,"1-room apartment","okres Ružomberok",Ružomberok,Baničné,"OVERENÉ REALITY","Banská Bystrica"
JuWx4I1iGWR,rent,"2-room apartment","okres Námestovo",Mútne,Mútne,"BeMi realitná kancelária",Nitra
Jubx4f_wHQY,sale,"3-room apartment","okres Žilina",Žilina,Vlčince,"RK4 REALITY",Bratislava
JuBjT8MmAiR,sale,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
Ju8qAJxGCh0,sale,"3-room apartment","okres Martin",Martin,Záturčie,"Mgr. Silvia Lukáčová - RealPoint",Martin
Ju-DovddXIY,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie","RE/MAX Slovakia",Bratislava
Ju6ap4Twr5W,rent,"3-room apartment","okres Ružomberok",Ružomberok,Klačno,NULL,NULL
JuVlvDHUEHV,rent,"2-room apartment","okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
JukzS9fkGsH,rent,"3-room apartment","okres Žilina",Žilina,Vlčince,"Safe reality s. r. o.",Žilina
Jum2zoM9dK0,sale,"2-room apartment","okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuwxWNhZHvq,rent,"2-room apartment","okres Žilina",Žilina,"Staré mesto","DreamReality s.r.o.",Žilina
JuNh7AtADFs,rent,"2-room apartment","okres Čadca","Krásno nad Kysucou",Kalinov,"MGM reality",Žilina
JuoVEcjPg5o,rent,"3-room apartment","okres Námestovo",Rabčice,Rabčice,"RE/MAX Slovakia",Bratislava
JuyUHlMcv_Q,rent,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Realitná kancelária RED, s.r.o.",Žilina
JuXQxA2vSe6,sale,"2-room apartment","okres Žilina",Žilina,Vlčince,"EASY centrum bývania, s.r.o.",Žilina
Jufd89QZCSO,sale,"holiday apartment","okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota","PASS Reality, s.r.o.",Bratislava
Ju2hVjHchsA,sale,"2-room apartment","okres Martin",Martin,Stred,"Buby reality, s.r.o.",Žilina
Ju9Zm5FKDvx,sale,"2-room apartment","okres Žilina",Žilina,Hliny,"Realitná kancelária RED, s.r.o.",Žilina
Ju_q6RS-fKo,sale,"3-room apartment","okres Námestovo","Oravské Veselé","Oravské Veselé","OREA, s.r.o.","Dolný Kubín"
Jutomv1SERc,rent,"2-room apartment","okres Martin",Martin,Jahodníky,"Reality Alpia",Martin
Jukc07qMxPz,sale,"2-room apartment","okres Žilina",Žilina,Bytčica,"Realitná kancelária RED, s.r.o.",Žilina
JuZPdvGyLq9,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","TUreality s.r.o.",Žilina
Ju8xVwtKo3R,sale,"1-room apartment","okres Námestovo",Námestovo,Stred,"BeMi realitná kancelária",Nitra
JuIK5SS5weX,rent,"2-room apartment","okres Martin",Martin,Stred,"Like Reality s.r.o.","Považská Bystrica"
JuzzHVLtL7p,sale,"3-room apartment","okres Tvrdošín",Tvrdošín,Medvedzie,"Vianema s.r.o.",Bratislava
Ju7J-Smt48P,sale,"2-room apartment","okres Tvrdošín",Trstená,Trstená,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuvxR6XXHxE,rent,"3-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuRuuJuhfW8,sale,"3-room apartment","okres Martin",Vrútky,"Horné Vrútky","Like Reality s.r.o.","Považská Bystrica"
JuZK70yldNu,sale,"1-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","OVERENÉ REALITY","Banská Bystrica"
JuzSqFzglhO,sale,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,Reality+,Žilina
JuT8ujDpM1g,rent,"1-room apartment","okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
JuzmSjYalDj,sale,"3-room apartment","okres Martin",Vrútky,"Horné Vrútky","Like Reality s.r.o.","Považská Bystrica"
Ju6pkdVbtRp,sale,"3-room apartment","okres Ružomberok",Ružomberok,Klačno,"NajBývanie, s.r.o.",Ružomberok
JudnXUbr0fH,sale,"2-room apartment","okres Liptovský Mikuláš",Východná,Východná,"REALITY TATRY",Levoča
JuBIZmW7FwQ,sale,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,NULL,NULL
JuPDRHaKHGy,sale,"2-room apartment","okres Žilina",Žilina,Hliny,"ŽILINAREAL, s.r.o.",Žilina
