offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
JuaFi1HiKe0,house,130,"new construction",2576.92,2025,130,250,NULL,"mostly flat",NULL,NULL,well,"okres Žilina","Rajecké Teplice","Rajecké Teplice","Bosen Group s.r.o.",Bratislava
JuMFo7ruEBZ,house,186,unrenovated,0.01,1999,186,1285,200,flat,NULL,NULL,well,"okres Martin",Valča,Valča,"B10 Slovensko, a. s.",Žilina
JuX-ONSG7MW,house,700,unrenovated,NULL,1968,700,700,NULL,flat,"not available",NULL,well,"okres Ružomberok",Ružomberok,NULL,"TUreality s.r.o.",Žilina
JuOaESnNFiy,house,418,"new construction",NULL,2024,418,1483,266,"gently sloped","not available",NULL,NULL,"okres Žilina",Kunerad,Kunerad,"R2 SK, s.r.o.",Žilina
JuhLO-Heh52,house,205,"under construction",NULL,2000,205,601,NULL,other,"not available","not available","not available","okres Čadca",NULL,NULL,"MGM reality",Žilina
JuWoA-3_Vhw,house,1000,"partially renovated",235.00,1980,1000,1000,150,flat,"not available",NULL,well,"okres Žilina",Mojš,Mojš,"TUreality s.r.o.",Žilina
JuagtPiMN9S,house,400,"fully renovated",0.00,2008,400,2000,400,"gently sloped",NULL,on-site,well,"okres Bytča",Súľov-Hradná,Súľov-Hradná,"B10 Slovensko, a. s.",Žilina
JuTJoEU1yhL,house,500,"new construction",NULL,2012,500,2003,1200,flat,A,on-site,"public water","okres Žilina",Kľače,Kľače,"OVERENÉ REALITY","Banská Bystrica"
Jux1LioPBDR,house,161,"fully renovated",1857.14,2015,161,1000,161,flat,NULL,NULL,well,"okres Martin",Valča,Valča,"B10 Slovensko, a. s.",Žilina
Ju1Zyt94p9m,house,230,unrenovated,1173.91,1965,230,666,NULL,NULL,"not available",NULL,NULL,"okres Tvrdošín",Podbiel,Podbiel,"RIEŠIME BÝVANIE",Bratislava
