offer_id,offer_type,property_type,condition,location_district,location_city,location_area,agency,office_city
JuizzObcJTE,sale,land,NULL,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače","Apollo House",Bratislava
JugrI7ZBfpT,sale,land,unrenovated,"okres Žilina",Krasňany,Krasňany,"1. Reality Rent, s.r.o.",Žilina
JuiwS-gpQB1,sale,land,NULL,"okres Martin",Laskár,Laskár,"B10 Slovensko, a. s.",Žilina
JujdYIr-c-p,sale,land,NULL,"okres Liptovský Mikuláš","Liptovské Beharovce","Liptovské Beharovce",NULL,NULL
JusoxTNDyJI,sale,land,NULL,"okres Námestovo",Námestovo,Brehy,NULL,NULL
Ju7_LrB_NNB,sale,land,NULL,"okres Žilina",Žilina,Trnové,"BeMi realitná kancelária",Nitra
JufLDox5EGX,sale,land,NULL,"okres Bytča",Hvozdnica,Hvozdnica,"GAMA Reality, s.r.o.",Bytča
Jux6EDO87ml,sale,land,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov,"HOLESTIAK.sk reality s.r.o.",Čadca
Judk1z1b1Nd,sale,land,unrenovated,"okres Martin",Blatnica,Blatnica,"RECLOUD Reality a.s.",Bratislava
JuUiQvR03zd,sale,land,NULL,"okres Žilina",Hôrky,Hôrky,"Stanislav Motyčík - MK",Žilina
JuYxVfR__Nx,sale,land,NULL,"okres Čadca",Oščadnica,Oščadnica,"HOLESTIAK.sk reality s.r.o.",Čadca
JuxusjEdK8z,sale,land,NULL,"okres Martin",Sučany,Sučany,"LAWIS s.r.o.",Žilina
Juisb1V01uC,sale,land,"new construction","okres Žilina",Ovčiarsko,Ovčiarsko,"RS Mansory s.r.o.",Bratislava
Jur-h57QXWc,sale,land,NULL,"okres Žilina",Žilina,Budatín,"Georgi Conev",Žilina
Ju9rSU4gBpn,sale,land,NULL,"okres Žilina",Ovčiarsko,Ovčiarsko,"DRR INVEST, s. r. o.","Horný Hričov"
JuGKRtmsaxJ,sale,land,unrenovated,"okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
Jurn7Tjk47J,sale,land,NULL,"okres Žilina",Bitarová,Bitarová,"Real Estate Group4U","Považská Bystrica"
JuFdP62I-_O,sale,land,NULL,"okres Liptovský Mikuláš",Prosiek,Prosiek,NULL,NULL
JugjLuDjRtG,sale,land,NULL,"okres Žilina",Varín,Varín,"R2 SK, s.r.o.",Žilina
Ju9yYyvLM4S,sale,land,unrenovated,"okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota","AstonReal s.r.o.","Banská Bystrica"
JuEOlFJy7eI,sale,land,NULL,"okres Liptovský Mikuláš","Svätý Kríž","Svätý Kríž","Realitná kancelária",Bratislava
Ju_3Vu8GkBj,sale,land,NULL,"okres Žilina",Žilina,Brodno,"YNI reality",Žilina
JuCdo9RybP_,sale,land,NULL,"okres Čadca",Svrčinovec,Svrčinovec,"BeMi realitná kancelária",Nitra
JuQqb1Uylo_,sale,land,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa","BALAŽI REAL ESTATE s.r.o.",Topoľčany
Juo4-ERrO5Y,sale,land,NULL,"okres Martin",Turany,Turany,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuqKis-FMaT,sale,land,NULL,"okres Žilina",Svederník,Svederník,NULL,NULL
Ju11TbSO8Lx,sale,land,"new construction","okres Martin",Valča,Valča,"MGM reality",Žilina
Jumx1pcB1EA,sale,land,NULL,"okres Žilina","Dolná Tižina","Dolná Tižina","Realitka pre každého",Žilina
Ju_om9GbVZa,sale,land,NULL,"okres Martin",Martin,Priekopa,"ROMDOM, s. r. o",Žilina
JuDFkgbrvLz,sale,land,NULL,"okres Dolný Kubín",Veličná,Veličná,"RK Dalmia s. r. o.","Dolný Kubín"
JuWNBUmtL8H,sale,land,NULL,"okres Čadca",Čadca,Podzávoz,"Realitka pre každého",Žilina
JuI3WIo1gnr,sale,land,NULL,"okres Kysucké Nové Mesto",Povina,Povina,Envire,Bratislava
JuHPdbSyfw3,sale,land,unrenovated,"okres Turčianske Teplice",Turček,Turček,"XEMAR realitná spoločnosť s.r.o.","Banská Bystrica"
JummK5hE8Lr,sale,land,NULL,"okres Žilina",Žilina,"Žilinská Lehota","DRR INVEST, s. r. o.","Horný Hričov"
Jue_IKSyNYA,sale,land,NULL,"okres Čadca",Raková,Raková,"JPE. Reality - Jozef Pajer",Čadca
Jufp6SmYJxs,sale,land,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","LIF REAL",Martin
JuKcCOH5Bgu,sale,land,NULL,"okres Žilina",Ovčiarsko,Ovčiarsko,"Realitné kancelárie SR",Bratislava
JuQXoAMiC5M,sale,land,NULL,"okres Žilina",Kunerad,Kunerad,NULL,NULL
JujYYo9Qtpi,sale,land,NULL,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
JuY_o0Hq1ua,sale,land,unrenovated,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"Reality IQ, s.r.o.",Žilina
Ju9DTwAgiHG,sale,land,NULL,"okres Liptovský Mikuláš",Beňadiková,Beňadiková,"RE/MAX Slovakia",Bratislava
JuARnh9cPNq,sale,land,NULL,"okres Liptovský Mikuláš",Jamník,Jamník,"Realitné kancelárie SR",Bratislava
Ju_Khlvp1_L,sale,land,NULL,"okres Liptovský Mikuláš",Podtureň,Podtureň,"NFA Group, s.r.o.","Žiar nad Hronom"
JuwYiWFslPL,sale,land,NULL,"okres Martin",Trnovo,Trnovo,"JMB REALITY s.r.o.",Ľubietová
Ju6_q9iLcH2,sale,land,NULL,"okres Kysucké Nové Mesto",Povina,Povina,"DreamReality s.r.o.",Žilina
JuVeKcRGSvF,sale,land,NULL,"okres Martin",Turany,Turany,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
