property_type,condition,location_district,gen_count,gen_avg_price,dis_count,dis_avg_price,price_diff
house,"fully renovated","okres Dolný Kubín",198,1549.545062,6,1207.650000,-22.0642219697
house,"new construction","okres Liptovský Mikuláš",340,2114.287185,34,2309.902500,9.2520692736
house,"under construction","okres Liptovský Mikuláš",51,1843.917727,11,2001.688571,8.5562843553
house,"new construction","okres Žilina",340,2114.287185,118,2252.985000,6.5600272273
house,"partially renovated","okres Liptovský Mikuláš",331,1370.453684,53,1117.708500,-18.4424462461
house,"partially renovated","okres Martin",331,1370.453684,53,3258.443158,137.7638293101
house,unrenovated,"okres Ružomberok",364,1025.187980,36,895.767500,-12.6240730993
house,"new construction","okres Ružomberok",340,2114.287185,27,2037.406667,-3.6362381868
house,"partially renovated","okres Bytča",331,1370.453684,15,1037.315556,-24.3086017345
house,"partially renovated","okres Turčianske Teplice",331,1370.453684,34,962.295556,-29.7827013613
house,"under construction","okres Žilina",51,1843.917727,8,2196.031250,19.0959454342
house,"partially renovated","okres Tvrdošín",331,1370.453684,7,1040.391667,-24.0841424160
house,"new construction","okres Dolný Kubín",340,2114.287185,13,2267.838750,7.2625689684
house,"new construction","okres Námestovo",340,2114.287185,11,1769.402222,-16.3121152815
house,"under construction","okres Turčianske Teplice",51,1843.917727,5,1400.592000,-24.0425980242
house,"new construction","okres Turčianske Teplice",340,2114.287185,13,2047.482000,-3.1597024980
house,"fully renovated","okres Čadca",198,1549.545062,27,1546.860870,-0.1732245203
house,"new construction","okres Kysucké Nové Mesto",340,2114.287185,9,2071.862857,-2.0065546583
house,"partially renovated","okres Dolný Kubín",331,1370.453684,6,1205.085000,-12.0667108951
house,"under construction","okres Kysucké Nové Mesto",51,1843.917727,2,2111.365000,14.5042953427
house,"development project","okres Žilina",3,2344.770000,2,2070.200000,-11.7098905223
house,"fully renovated","okres Kysucké Nové Mesto",198,1549.545062,7,2019.985000,30.3598746198
house,"new construction","okres Tvrdošín",340,2114.287185,3,1625.190000,-23.1329588747
house,"fully renovated","okres Bytča",198,1549.545062,5,1029.108000,-33.5864425477
house,"under construction","okres Čadca",51,1843.917727,9,1555.091667,-15.6637172999
house,"under construction","okres Ružomberok",51,1843.917727,4,1021.690000,-44.5913456420
house,unrenovated,"okres Tvrdošín",364,1025.187980,3,914.510000,-10.7958717971
house,unrenovated,"okres Dolný Kubín",364,1025.187980,10,988.354444,-3.5928567949
house,"fully renovated","okres Turčianske Teplice",198,1549.545062,14,1178.806154,-23.9256616082
house,unrenovated,"okres Bytča",364,1025.187980,15,1158.958889,13.0484273723
house,"under construction","okres Bytča",51,1843.917727,3,2425.196667,31.5241255881
house,"partially renovated","okres Námestovo",331,1370.453684,6,759.514000,-44.5793747817
house,"under construction","okres Dolný Kubín",51,1843.917727,1,1493.530000,-19.0023514536
house,"development project","okres Liptovský Mikuláš",3,2344.770000,1,2893.910000,23.4197810446
house,"fully renovated","okres Tvrdošín",198,1549.545062,1,NULL,NULL
land,n/a,"okres Martin",923,102.133312,160,96.368293,-5.6446020276
land,n/a,"okres Námestovo",923,102.133312,26,91.429600,-10.4801379593
land,n/a,"okres Žilina",923,102.133312,248,153.974641,50.7584919992
land,n/a,"okres Liptovský Mikuláš",923,102.133312,126,103.077103,0.9240775429
land,n/a,"okres Kysucké Nové Mesto",923,102.133312,43,66.231250,-35.1521568203
land,n/a,"okres Bytča",923,102.133312,53,97.174444,-4.8552895259
land,n/a,"okres Ružomberok",923,102.133312,36,80.746667,-20.9399309405
land,n/a,"okres Turčianske Teplice",923,102.133312,38,48.560571,-52.4537390896
land,n/a,"okres Čadca",923,102.133312,131,58.442222,-42.7784913114
land,n/a,"okres Dolný Kubín",923,102.133312,59,96.996522,-5.0294951759
land,n/a,"okres Tvrdošín",923,102.133312,3,81.190000,-20.5058580691
