property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
house,"partially renovated","okres Ružomberok",Komjatná,331,1370.453684,2,755.950000,-44.8394346467
house,"fully renovated","okres Liptovský Mikuláš","Veľké Borové",198,1549.545062,1,747.510000,-51.7593893633
house,"under construction","okres Kysucké Nové Mesto","Lopušné Pažite",51,1843.917727,1,2172.730000,17.8322637819
house,"development project","okres Žilina",Trnové,3,2344.770000,1,2231.400000,-4.8350158011
house,unrenovated,"okres Žilina","Staré mesto",364,1025.187980,7,3603.706000,251.5166067398
house,"partially renovated","okres Ružomberok",Stankovany,331,1370.453684,4,780.365000,-43.0579078220
house,unrenovated,"okres Martin",Bystrička,364,1025.187980,1,951.900000,-7.1487357860
house,unrenovated,"okres Martin","Kolónia Hviezda",364,1025.187980,2,173.530000,-83.0733481678
house,"fully renovated","okres Žilina",Turie,198,1549.545062,2,3312.500000,113.7724214180
house,unrenovated,"okres Liptovský Mikuláš","Partizánska Ľupča",364,1025.187980,4,862.256667,-15.8928231874
house,"fully renovated","okres Kysucké Nové Mesto",Snežnica,198,1549.545062,2,3094.765000,99.7208778172
house,unrenovated,"okres Ružomberok",Černová,364,1025.187980,1,149.460000,-85.4212102643
house,"new construction","okres Tvrdošín",Zábiedovo,340,2114.287185,1,NULL,NULL
house,"new construction","okres Ružomberok","Biely Potok",340,2114.287185,2,727.335000,-65.5990441999
house,"new construction","okres Žilina","Rajecká Lesná",340,2114.287185,1,1614.020000,-23.6612693181
house,unrenovated,"okres Turčianske Teplice","Turčiansky Michal",364,1025.187980,1,NULL,NULL
house,"new construction","okres Žilina",Mojš,340,2114.287185,6,2929.760000,38.5696333396
house,"fully renovated","okres Kysucké Nové Mesto",Rudinská,198,1549.545062,1,1264.970000,-18.3650717219
house,"under construction","okres Martin",Necpaly,51,1843.917727,1,1545.360000,-16.1914885154
house,"new construction","okres Žilina",Divina,340,2114.287185,3,1726.050000,-18.3625567877
house,"new construction","okres Liptovský Mikuláš","Závažná Poruba",340,2114.287185,1,1193.400000,-43.5554446687
house,"new construction","okres Ružomberok","Liptovské Sliače",340,2114.287185,8,2215.736250,4.7982632501
house,"new construction","okres Čadca",Oščadnica,340,2114.287185,4,1749.436667,-17.2564314152
house,"fully renovated","okres Martin","Kolónia Hviezda",198,1549.545062,1,1212.120000,-21.7757502040
house,"new construction","okres Ružomberok","Liptovská Štiavnica",340,2114.287185,4,2209.152500,4.4868698857
