offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index
JuQUQOdCbAJ,"Reality IQ, s.r.o.","4-room apartment",apartment,unrenovated,"okres Žilina","Staré mesto",1,4,1904.75,1740.945000,0.0940897042
Judmv08qh2A,"RIEŠIME BÝVANIE","4-room apartment",apartment,unrenovated,"okres Žilina","Staré mesto",1,4,1416.67,1740.945000,-0.1862637820
JuXRtZdfweI,"Reality Center, s.r.o.","4-room apartment",apartment,"partially renovated","okres Martin",Ľadoveň,1,2,2189.35,2269.375000,-0.0352630129
JuNZupA7Ru4,"ŽILINAREAL, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Rajecké Teplice",2,5,3082.34,3298.330000,-0.0654846544
JuOC5yzde-c,"ŽILINAREAL, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Rajecké Teplice",2,5,3267.24,3298.330000,-0.0094259822
JuUnD0myJmK,"Piata Avenue","2-room apartment",apartment,"partially renovated","okres Žilina",Hájik,1,3,2576.57,2900.353333,-0.1116358236
JuIh9K2txJ3,"BeMi realitná kancelária","3-room apartment",apartment,"new construction","okres Námestovo",Zubrohlava,1,2,1455.00,2012.825000,-0.2771353694
Jub5nNi4yTF,"RIEŠIME BÝVANIE","2-room apartment",apartment,"partially renovated","okres Žilina",Vlčince,1,2,2887.10,2753.810000,0.0484020321
JuRuuJuhfW8,"Like Reality s.r.o.","3-room apartment",apartment,"partially renovated","okres Martin","Horné Vrútky",2,6,1610.59,1730.700000,-0.0693996649
JuzmSjYalDj,"Like Reality s.r.o.","3-room apartment",apartment,"partially renovated","okres Martin","Horné Vrútky",2,6,1608.05,1730.700000,-0.0708672791
JuvFESSKGWN,"Reality D.P.A.","3-room apartment",apartment,"partially renovated","okres Martin","Horné Vrútky",1,6,1779.07,1730.700000,0.0279482290
JuKOtZwcbir-,"Reality Alpia","holiday apartment",apartment,"fully renovated","okres Ružomberok",Hrabovo,2,4,3357.40,3120.340000,0.0759724902
JuoKym-eugj,"Reality Alpia","holiday apartment",apartment,"fully renovated","okres Ružomberok",Hrabovo,2,4,2564.10,3120.340000,-0.1782626252
JuDyAq3LxaR,"Realitná kancelária RED, s.r.o.","2-room apartment",apartment,unrenovated,"okres Kysucké Nové Mesto",Sídlisko,1,2,2053.57,2111.785000,-0.0275667267
JuymkoAFG_6,"HOLESTIAK.sk reality s.r.o.","2-room apartment",apartment,unrenovated,"okres Kysucké Nové Mesto",Sídlisko,1,2,2170.00,2111.785000,0.0275667267
JuZPdvGyLq9,"TUreality s.r.o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,1956.41,2757.621111,-0.2905443057
Ju1F-eiNHx4,"RIEŠIME BÝVANIE","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,2694.12,2757.621111,-0.0230274967
JuyOHLJxsdS,"Local reality s. r. o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,3031.25,2757.621111,0.0992264267
JuQvJ7BykSU,"WFG reality, s.r.o.","2-room apartment",apartment,unrenovated,"okres Martin",Sever,1,3,2222.00,1981.350000,0.1214575920
JuXvJNkXrX-,"Reality Now","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,4291.85,5609.228333,-0.2348591027
JumNtvscU-s,"CreeX Reality s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,6910.14,5609.228333,0.2319234643
Jux3XqE2ppP,"XEMAR realitná spoločnosť s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,6910.14,5609.228333,0.2319234643
Ju-zlCEP8xA,"Nové bývanie","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,7521.74,5609.228333,0.3409580701
JudyIRiA8kq,ZEIRA,"holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,6730.77,5609.228333,0.1999458037
JuH6sKr2JgO,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",5,36,3892.86,5609.228333,-0.3059900990
JuMLTI5Qk7o,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",5,36,3180.56,5609.228333,-0.4329772633
Juh0xQ8lAwr,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",5,36,3021.74,5609.228333,-0.4612913184
JuIQRanSNHE,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",5,36,3971.43,5609.228333,-0.2919828247
Ju6oo_vEaT-,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",5,36,2791.18,5609.228333,-0.5023950115
JuQG3Tg2HJV,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6900.00,5609.228333,0.2301157290
JuoCz53ml38,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6415.09,5609.228333,0.1436671177
JurBk73cOr3,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6000.00,5609.228333,0.0696658513
JuHMn6qkBSk,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,3494.62,5609.228333,-0.3769873871
JuIZo2BnWQa,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6313.13,5609.228333,0.1254899293
JuUeGi9MZcI,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6202.53,5609.228333,0.1057724221
JuolQI_qYfx,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6531.53,5609.228333,0.1644257663
Ju_TYGvbGhv,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6973.68,5609.228333,0.2432512257
Ju8j-hPnALY,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",14,36,6682.03,5609.228333,0.1912565514
JuDetN4gLGy,"Tatra Invest","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",3,36,5232.56,5609.228333,-0.0671515422
Ju8f4W9RYX2,"Tatra Invest","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",3,36,5634.15,5609.228333,0.0044429760
