offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
JuifoQkrLih,"TARGETreal s. r. o.","large house",house,"new construction","okres Kysucké Nové Mesto","Horný Vadičov",1,3,1548.81,1786.576667,-0.1330850623,-0.0528494707,average
Juidd703LOU,"Realitná kancelária RED, s.r.o.","large house",house,unrenovated,"okres Žilina",Lysica,1,2,745.00,659.040000,0.1304321437,-0.2224400340,average
JuV6m-uCHri,"NajBývanie, s.r.o.","large house",house,"partially renovated","okres Ružomberok",Komjatná,1,2,1083.33,755.950000,0.4330709703,-0.5833518436,cheap
Juo44m6iiNj,"RIEŠIME BÝVANIE","large house",house,unrenovated,"okres Žilina","Staré mesto",1,2,2360.00,3211.250000,-0.2650836902,0.2523570386,expensive
JukPbMQp4vL,"VAŠA REALITKA s.r.o.","small house",house,"new construction","okres Ružomberok","Liptovské Sliače",1,2,1998.18,2044.545000,-0.0226774172,-0.0711715674,average
Junzj9FwgBR,jabyvam.sk,"standard house",house,"partially renovated","okres Liptovský Mikuláš",Važec,1,3,1044.55,996.776667,0.0479278203,-0.3574816230,cheap
JuFiX3Sq3vG,"HALO reality, s.r.o.","standard house",house,"partially renovated","okres Liptovský Mikuláš",Važec,1,3,998.52,996.776667,0.0017489705,-0.3574816230,cheap
Juove7AkwvT,"ALT REAL, s.r.o.","large house",house,"new construction","okres Martin",Valča,1,5,1625.00,1201.000000,0.3530391341,-0.1600821041,average
Ju8D90dPeWn,"TRI LIPY, s. r. o.","standard house",house,"under construction","okres Čadca","Stará Bystrica",1,2,2276.49,1961.000000,0.1608822030,-0.0256631012,average
JuOwPTDIr94,"RE/MAX Slovakia","large house",house,"partially renovated","okres Martin",Priekopa,1,4,1065.00,1109.977500,-0.0405210916,0.5581583932,premium
JuOcMarFG9f,"B10 Slovensko, a. s.","large house",house,"partially renovated","okres Martin",Priekopa,1,4,846.33,1109.977500,-0.2375250850,0.5581583932,premium
JugpipVmZe_,"1. Reality Rent, s.r.o.","standard house",house,unrenovated,"okres Kysucké Nové Mesto","Budatínska Lehota",1,2,1454.55,1342.275000,0.0836453037,0.1388267065,expensive
Juf1-SHsN6y,"OVERENÉ REALITY","standard house",house,"new construction","okres Ružomberok","Staré mesto",1,2,492.31,1049.725000,-0.5310105028,-0.1477842693,average
JuLzQl1X89Z,"ALT REAL, s.r.o.","large house",house,unrenovated,"okres Martin",Priekopa,1,2,1020.00,1020.000000,0.0000000000,0.5581583932,premium
JuZg89p6Hy7,"TARGETreal s. r. o.","large house",house,"fully renovated","okres Žilina",Terchová,1,4,1608.65,1635.102500,-0.0161778849,0.1729012605,expensive
JufFtzCmoZI,"MGM reality","standard house",house,"fully renovated","okres Žilina",Rosina,1,2,1552.91,1552.670000,0.0001545724,0.2682717788,expensive
JuTP76BJSu5,"B10 Slovensko, a. s.","large house",house,"partially renovated","okres Tvrdošín",Vitanová,1,2,1025.00,979.165000,0.0468102924,-0.2855176272,cheap
JuaFi1HiKe0,"Bosen Group s.r.o.","standard house",house,"new construction","okres Žilina","Rajecké Teplice",2,3,2576.92,2420.486667,0.0646288761,0.0507869344,average
Ju03oBXaeQc,"Bosen Group s.r.o.","standard house",house,"new construction","okres Žilina","Rajecké Teplice",2,3,2453.85,2420.486667,0.0137837293,0.0507869344,average
Juci-VafLS1,"B10 Slovensko, a. s.","standard house",house,"fully renovated","okres Martin",Stred,1,3,2640.00,2828.036667,-0.0664901800,0.1938109699,expensive
JuBFSGXIbQg,"Reality D.P.A.","standard house",house,"fully renovated","okres Martin",Stred,1,3,2917.53,2828.036667,0.0316450398,0.1938109699,expensive
Junzbld49fm,"WFG reality, s.r.o.","standard house",house,"new construction","okres Žilina",Rosina,1,2,4239.13,3744.930000,0.1319650835,0.2682717788,expensive
Ju8g_PgmzSw,"JPE. Reality - Jozef Pajer","small house",house,unrenovated,"okres Čadca",Svrčinovec,1,3,533.33,644.436667,-0.1724089778,-0.5161943179,cheap
JuCDqPuA034,"RE/MAX Slovakia","standard house",house,unrenovated,"okres Turčianske Teplice",Mošovce,1,2,1020.00,943.335000,0.0812701744,-0.2970508266,cheap
Ju3IEZxl8sI,"CPM Real Estate","large house",house,"new construction","okres Žilina",Hôrky,1,2,2990.34,2688.105000,0.1124342241,0.2436213332,expensive
Juw8ClGcgML,"NajBývanie, s.r.o.","large house",house,"partially renovated","okres Ružomberok",Stankovany,1,2,1246.44,780.365000,0.5972525677,-0.4305790782,cheap
JugpfnfthRi,"ALT REAL, s.r.o.","large house",house,"fully renovated","okres Martin","Kláštor pod Znievom",1,2,1000.00,1102.645000,-0.0930897977,-0.1227246646,average
Juoz04a647Q,"ŽILINAREAL, s.r.o.","large house",house,"partially renovated","okres Žilina",Budatín,1,2,1625.00,1435.000000,0.1324041812,0.5129449150,premium
JuOWTKqdph-,"TARGETreal s. r. o.","standard house",house,"new construction","okres Žilina",Brezany,1,2,2389.29,2557.740000,-0.0658589223,0.3073558222,expensive
JutC-Cu36o8,donidDevelop,"standard house",house,unrenovated,"okres Ružomberok",Lúčky,1,3,853.66,1386.670000,-0.3843812875,0.0515242288,average
JukbTdt_vUz,"NajBývanie, s.r.o.","standard house",house,unrenovated,"okres Ružomberok",Lúčky,1,3,2095.24,1386.670000,0.5109867524,0.0515242288,average
JuRSkMGH43Z,"AstonReal s.r.o.","extra large house",house,"partially renovated","okres Martin",Sučany,2,3,340.78,421.080000,-0.1907001045,-0.1913181231,average
JuptDHkjOFq,"AstonReal s.r.o.","extra large house",house,"partially renovated","okres Martin",Sučany,2,3,340.78,421.080000,-0.1907001045,-0.1913181231,average
Ju7YL1bOSxr,"TARGETreal s. r. o.","standard house",house,"new construction","okres Martin",Tomčany,2,3,3024.59,3295.246667,-0.0821354801,0.0676942205,average
JuriX67hMEI,"TARGETreal s. r. o.","standard house",house,"new construction","okres Martin",Tomčany,2,3,3300.00,3295.246667,0.0014424817,0.0676942205,average
Ju7eOmn6zgP,"KING REAL s. r. o.","large house",house,"fully renovated","okres Čadca",Oščadnica,1,3,1538.08,1785.190000,-0.1384222408,-0.2204248485,average
Ju8oUNOWXin,"X-REAL, s. r. o.","large house",house,unrenovated,"okres Žilina",Svederník,1,2,1555.56,1258.515000,0.2360281761,0.2498052070,expensive
JuG7o38qa_3q,"Realitná kancelária DR, s.r.o.","standard house",house,unrenovated,"okres Martin","Turčiansky Peter",1,2,1142.86,1383.930000,-0.1741923363,0.1415844401,expensive
Juaq4WwW9vx,"Reality ASTORIA, s.r.o.","standard house",house,"new construction","okres Martin",Slovany,1,2,2307.69,1620.825000,0.4237749294,-0.1788322464,average
JulGanHAPf5,"Reality Alpia","extra large house",house,"partially renovated","okres Martin",Stráne,1,2,475.48,596.790000,-0.2032708323,-0.0089918347,average
JulOKuOiom0,"Reality AK, spol. s r.o.","extra large house",house,unrenovated,"okres Martin",Stráne,1,3,706.90,477.556667,0.4802431813,-0.0089918347,average
JujkenW1_dD,"DOBRÉ REALITY s.r.o.","standard house",house,"partially renovated","okres Turčianske Teplice",Sklené,1,2,1587.06,1543.280000,0.0283681510,-0.1200984333,average
Ju_z9MMC1dy,"Effecting s.r.o.","standard house",house,"new construction","okres Žilina",Strážov,1,3,2157.45,2088.110000,0.0332070628,0.0247320758,average
Ju7QPzGiQmY,"Realitná kancelária RED, s.r.o.","standard house",house,"new construction","okres Žilina",Strážov,1,3,2053.44,2088.110000,-0.0166035314,0.0247320758,average
JuwkeSmHDEB,"Real Reality Development s.r.o.","standard house",house,"new construction","okres Martin",Valča,1,2,2636.36,2246.750000,0.1734104818,-0.1600821041,average
JuYcAohEk_m,"PhDr. Miloš Kocúr - BKM Consulting","standard house",house,unrenovated,"okres Čadca",Svrčinovec,1,2,153.33,533.810000,-0.7127629681,-0.5161943179,cheap
JuIgoGx2_v8,"SLNOVRAT, s.r.o.","large house",house,"partially renovated","okres Čadca",Rieka,1,2,861.11,861.110000,0.0000000000,-0.3545781653,cheap
JuNuINWKCa2,"DreamReality s.r.o.","large house",house,"fully renovated","okres Žilina","Staré mesto",1,2,1551.09,2025.545000,-0.2342357242,0.2523570386,expensive
JugRw5WlFvo,"CPM Real Estate","standard house",house,"new construction","okres Martin","Košťany nad Turcom",1,5,2651.52,2190.774000,0.2103119719,-0.0830285942,average
