offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
Juu2KYnLJH8,land,866,flat,108.46,"okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
Jug6QXb2mr0,land,5120,"gently sloped",13.00,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica","bezmaklérov, s.r.o.",Žilina
JuUooEhgJl4,land,1234,flat,68.88,"okres Čadca",Raková,Raková,"TRI LIPY, s. r. o.",Čadca
Ju4d7oCmzgt,land,1350,flat,60.00,"okres Čadca",Raková,Raková,"SLNOVRAT, s.r.o.",Olešná
JuHSEHdVoIU,land,500,flat,100.00,"okres Turčianske Teplice","Turčianske Teplice",Diviaky,"Reality MT s.r.o.",Martin
JurXAjyEx4Y,land,2838,flat,102.00,"okres Martin",Necpaly,Necpaly,"Reality Center, s.r.o.",Martin
Jubn_BmVZq4,land,679,NULL,61.86,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače","TUreality s.r.o.",Žilina
JuAYbMU687z,land,1753,flat,70.00,"okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján","bezmaklérov, s.r.o.",Žilina
Ju5AeA4FaTa,land,736,"gently sloped",99.00,"okres Žilina",Bitarová,Bitarová,"Mamud Reality s. r. o.",Žilina
Ju6BOs5U974,land,1226,"gently sloped",81.48,"okres Žilina","Kotrčiná Lúčka","Kotrčiná Lúčka","WFG reality, s.r.o.",Žilina
JuLOTbilQnB,land,925,"mostly flat",86.38,"okres Martin",Rakovo,Rakovo,"B10 Slovensko, a. s.",Žilina
JuQixUnoW4u,land,3750,NULL,95.00,"okres Žilina",Višňové,Višňové,"Realitné kancelárie SR",Bratislava
JuIlHogl4wQ,land,1900,"gently sloped",38.00,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
Ju2i2SZUYUh,land,448,flat,105.00,"okres Martin",Trebostovo,Trebostovo,"Reality D.P.A.",Martin
JuuE0IH089Q,land,5260,NULL,NULL,"okres Martin",Ratkovo,Ratkovo,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuP4Qge949G,land,2891,sloped,26.00,"okres Čadca",Makov,Makov,"AP REAL, s.r.o.",Bratislava
