agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"Financial Hotels Management, s.r.o.",7,0.12972857,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Financie a reality od A po Z",2,-0.15100000,NULL,2,0.04290000,NULL,NULL,NULL,NULL
"FINREA - ak vám záleží na výsledku",17,0.02337273,NULL,17,0.02498667,NULL,8,-0.08198571,NULL
"FISCHER & PARTNERS, s.r.o.",1,0.00000000,NULL,4,0.00000000,NULL,2,0.00000000,NULL
G-REAL,13,-0.03209091,NULL,NULL,NULL,NULL,1,NULL,NULL
"GAMA Reality, s.r.o.",2,-0.02545000,NULL,1,-0.17430000,NULL,2,0.00000000,NULL
"GARANT REALITY",1,-0.03000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Georgi Conev",1,0.00670000,NULL,3,0.00000000,NULL,3,-0.18943333,NULL
"GERT , s.r.o.",2,-0.01590000,NULL,4,0.10130000,NULL,2,NULL,NULL
"Good Reality s.r.o.",NULL,NULL,NULL,1,0.02270000,NULL,NULL,NULL,NULL
"GRAVITAS a. s.",1,NULL,NULL,1,0.00000000,NULL,1,NULL,NULL
"Gro & Partners",2,-0.00430000,NULL,2,0.00000000,NULL,1,-0.02380000,NULL
"HALO reality, s.r.o.",18,0.00047222,NULL,20,0.00830000,NULL,7,-0.02497143,NULL
"HD reality group s.r.o",8,-0.03722000,NULL,2,-0.03810000,NULL,NULL,NULL,NULL
"HERRYS s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"HMS Services, a. s.",4,0.01155000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"HOLESTIAK.sk reality s.r.o.",2,0.01380000,NULL,21,0.02106190,NULL,9,-0.02490000,NULL
"House Real Žilina",2,0.00000000,NULL,NULL,NULL,NULL,1,-0.53680000,NULL
"Hulka REAL Plus s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"IDEÁLNE BÝVANIE, s.r.o.",1,0.00000000,NULL,3,-0.07643333,NULL,1,0.30730000,NULL
"Ing. Gerlinda Bérešová - Esti",2,0.00000000,NULL,2,0.07640000,NULL,4,-0.11247500,NULL
"Ing. Jaroslav Minár JAVAS",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
"Ing. Marcela Pišteková",1,NULL,NULL,6,-0.13308333,NULL,1,0.00000000,NULL
"Ing.Tomáš Hudák",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"Ing.Zuzana Paverová",1,0.00000000,NULL,4,0.09262500,NULL,2,-0.16400000,NULL
"Istrofinal, s. r. o.",21,-0.00000952,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"IVANING, s. r. o.",NULL,NULL,NULL,3,0.00000000,NULL,NULL,NULL,NULL
"J.M.H. s.r.o.",3,-0.02180000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
jabyvam.sk,2,-0.04450000,NULL,11,0.00089000,NULL,1,-0.07540000,NULL
"Jacek reality s. r. o.",1,-0.11590000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"JKV REAL",3,-0.06595000,NULL,3,-0.04036667,NULL,NULL,NULL,NULL
"JMB REALITY s.r.o.",NULL,NULL,NULL,1,NULL,NULL,3,NULL,NULL
"Joyel s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
