offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
JuMrpN3u-gh,NULL,NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuG-jkKlogR,NULL,NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
Ju-seNslb4u,"upper floor",3,4,NULL,1995,C,NULL,NULL,NULL,NULL
JuKxd6XdpfQ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuddoVYZYie,"upper floor",2,4,yes,2024,A,NULL,yes,NULL,yes
Ju4lN_U1N_8,"top floor",3,3,NULL,2023,A,NULL,yes,yes,NULL
JuNQHesGhEl,"upper floor",4,6,yes,2025,A,yes,NULL,yes,NULL
Juv6SZd0pv9,"top floor",2,2,NULL,1980,"not available",NULL,NULL,NULL,NULL
Ju01CyxoHbS,"upper floor",4,4,yes,2023,B,NULL,NULL,NULL,NULL
JuQxdKNuhGj,"ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuMc4nt1NbY,attic,2,3,NULL,2022,A,NULL,NULL,NULL,NULL
JuykyParod3,"upper floor",2,3,NULL,2024,A,NULL,NULL,NULL,NULL
Ju4N6fIAndO,NULL,NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuiNHN3K-2n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JucceUznreI,"upper floor",2,4,NULL,1970,B,NULL,NULL,NULL,yes
JuzGrB3SDsa,"upper floor",4,7,NULL,1990,"not available",NULL,NULL,NULL,NULL
JuCJs2os-i-x,"ground floor",1,4,yes,2025,A,NULL,NULL,yes,NULL
Ju3z3M9TPDa,"ground floor",1,5,yes,2019,"not available",NULL,NULL,NULL,yes
JuDxBcaveH8,"top floor",7,7,yes,1990,"not available",NULL,NULL,yes,yes
Ju_5trjiiyY,"raised ground floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Juo9yc6U_zm,"upper floor",6,7,yes,NULL,NULL,NULL,NULL,NULL,NULL
JueZYUzuLYA,"upper floor",2,3,NULL,2020,B,NULL,NULL,NULL,NULL
